symbol,event_date,event_hour,era,stress_abs,variable,baseline,phi,lambda_per_h,half_life_h,r2,n_pairs,t_return_defined,t_return_h,censored,shock_excess
BTCUSDT,2020-11-19,446053,OTHER,False,activity_ntrades,5.204006687076795,0.61049850349743,5.921753240496517,0.11705100709360654,0.37359813004794407,287,True,20,False,0.46087343444460327
BTCUSDT,2020-11-19,446053,OTHER,False,realized_vol,2.8335887056435123,0.4106808235190017,10.67926741555494,0.0649058735574257,0.16874940346313938,287,True,24.0,True,0.00339624593976684
BTCUSDT,2020-11-20,446078,OTHER,False,activity_volume,3.9932316466740927,0.4864636872868576,8.647116250412623,0.08015934566935766,0.2393936141135924,287,True,24.0,True,0.9650047481277092
BTCUSDT,2020-11-20,446078,OTHER,False,activity_ntrades,4.875197323201151,0.5472305794765038,7.234620368267775,0.09580975162155043,0.30591483957828813,287,True,4,False,0.8966923949413225
BTCUSDT,2020-11-20,446078,OTHER,False,realized_vol,2.571443049941313,0.25337229050086824,16.474744414795666,0.04207331920351023,0.06470156589484444,287,True,7,False,0.442699250591096
BTCUSDT,2020-11-22,446123,OTHER,False,activity_volume,3.909815178896938,0.5279933751234605,7.664058509630994,0.09044126942518849,0.2842642037941968,287,True,3,False,1.1916853466033235
BTCUSDT,2020-11-22,446123,OTHER,False,activity_ntrades,4.672828834461906,0.597598147627338,6.178040938258196,0.11219530389764099,0.3693003156357848,287,True,8,False,1.120801641217395
BTCUSDT,2020-11-22,446123,OTHER,False,realized_vol,2.4610984229755055,0.3222895532050475,13.587658847399501,0.051012995567857114,0.10607790777742876,287,True,5,False,0.7234824241886669
BTCUSDT,2020-11-23,446151,OTHER,False,activity_volume,3.9943197219913413,0.5348243285377224,7.509803326569564,0.09229897913672408,0.29093938899599703,287,True,14,False,0.8210901438894531
BTCUSDT,2020-11-23,446151,OTHER,False,activity_ntrades,4.912654885736052,0.703017636159883,4.228479605852814,0.1639235009199362,0.5001681405519715,287,True,2,False,0.6981514676511136
BTCUSDT,2020-11-23,446151,OTHER,False,realized_vol,2.6365160581615434,0.4542312642321166,9.469785816664718,0.07319565552793816,0.20797710517513568,287,True,3,False,0.415209296212325
BTCUSDT,2020-11-26,446210,OTHER,False,activity_volume,4.149558157897654,0.7252715294665589,3.854510050100342,0.17982757122189916,0.5314614866677299,287,True,16,False,1.8775590756507226
BTCUSDT,2020-11-26,446210,OTHER,False,activity_ntrades,4.955827057601261,0.8195414714473782,2.3881233154279764,0.29024765014520454,0.6790604704459198,287,True,4,False,1.7330280405281642
BTCUSDT,2020-11-26,446210,OTHER,False,realized_vol,2.7279826007515053,0.7760237826124334,3.0428653388653744,0.22779423450214412,0.6040852465715736,287,True,24.0,True,1.2263306162497083
BTCUSDT,2020-11-30,446318,OTHER,False,activity_volume,3.608181418162393,0.7826946189099546,2.9401520787620465,0.2357521522668295,0.615329692803888,287,True,13,False,1.725982682060347
BTCUSDT,2020-11-30,446318,OTHER,False,activity_ntrades,4.590043664402581,0.8359016069980315,2.1509324136295693,0.32225428198848005,0.702989823405834,287,True,7,False,1.7383295014954552
BTCUSDT,2020-11-30,446318,OTHER,False,realized_vol,2.454478304770092,0.6979472013412795,4.315341862300324,0.16062393262870214,0.4891852216388808,287,True,7,False,1.3069371246866124
BTCUSDT,2020-12-01,446342,OTHER,False,activity_volume,4.389558379087687,0.256449385448645,16.32988753834292,0.042446537303604884,0.06611574847144563,287,True,9,False,0.8557295669728049
BTCUSDT,2020-12-01,446342,OTHER,False,activity_ntrades,5.187385805840755,0.3899447608179399,11.301002265822534,0.061335018280300746,0.15313860935924029,287,True,21,False,0.7144929032709365
BTCUSDT,2020-12-01,446342,OTHER,False,realized_vol,2.9575730928887465,0.1698209924380102,21.276124588434257,0.03257863891889134,0.029080788579670003,287,True,5,False,0.6199036547003453
BTCUSDT,2020-12-08,446518,OTHER,False,activity_volume,2.9721309006615164,0.636310082081297,5.424831408165886,0.1277730363226708,0.42127075214905163,287,True,6,False,1.717320889389171
BTCUSDT,2020-12-08,446518,OTHER,False,activity_ntrades,4.31077660337024,0.7236582031108698,3.8812331186298437,0.178589422323759,0.5412718821267004,287,True,5,False,1.4928707748527617
BTCUSDT,2020-12-08,446518,OTHER,False,realized_vol,1.974669114175575,0.5668436697445438,6.812060736083222,0.10175293606652265,0.3230280392714763,287,True,5,False,0.995951534195345
BTCUSDT,2020-12-16,446701,OTHER,False,activity_volume,3.16323467968712,0.854928583906164,1.8808480935495662,0.36852906034098,0.7259226570144733,287,True,24.0,True,2.451585881668203
BTCUSDT,2020-12-16,446701,OTHER,False,activity_ntrades,4.269672998028685,0.9124062843908901,1.1000388100450385,0.6301115690014301,0.8277317536269067,287,True,24.0,True,2.245829454828927
BTCUSDT,2020-12-16,446701,OTHER,False,realized_vol,1.982475733274831,0.7945506554158284,2.759742449213854,0.2511637202802735,0.6295282003649099,287,True,7,False,1.4286109053719012
BTCUSDT,2020-12-17,446729,OTHER,False,activity_volume,4.682315418116572,0.5982165277650391,6.16563004806498,0.11242114352571032,0.35763414433304574,287,True,4,False,0.8858251426472187
BTCUSDT,2020-12-17,446729,OTHER,False,activity_ntrades,5.566388582422927,0.5890517775031062,6.350894300623485,0.1091416653701664,0.34904372096575254,287,True,6,False,0.8472040313890895
